time	V(n003)
Step Information: Temp=-10  (Step: 1/5)
2.496778197451053e-03	4.137694e-01
2.506778197451053e-03	-9.394329e-01
2.516778197451053e-03	-2.139607e+00
2.523217386839368e-03	-2.497968e+00
2.525835095336527e-03	-2.512565e+00
2.527859560477764e-03	-2.469559e+00
2.531146624029450e-03	-2.303095e+00
2.536413369267918e-03	-1.820433e+00
2.544485560339535e-03	-7.645733e-01
2.552322658430135e-03	3.006776e-01
2.562322658430135e-03	1.315372e+00
2.570972076428599e-03	1.739359e+00
2.574975965156043e-03	1.786976e+00
2.576491066688144e-03	1.780599e+00
2.578926561618536e-03	1.742176e+00
2.582868741135649e-03	1.606042e+00
2.589113843765137e-03	1.203824e+00
2.598364373717825e-03	2.156109e-01
2.608364373717826e-03	-1.158635e+00
2.618364373717826e-03	-2.267187e+00
2.623913915319894e-03	-2.509586e+00
2.626095792935298e-03	-2.509636e+00
2.628283756102679e-03	-2.454634e+00
2.631832393388794e-03	-2.254143e+00
2.637494664323320e-03	-1.695136e+00
2.645960324802515e-03	-5.568941e-01
2.653883851748270e-03	4.916142e-01
2.663883851748270e-03	1.424417e+00
2.671814151999277e-03	1.757167e+00
2.675302538180790e-03	1.786753e+00
2.676992617078255e-03	1.775530e+00
2.679741347031202e-03	1.721637e+00
2.684176553374011e-03	1.540731e+00
2.691128152495744e-03	1.026179e+00
2.701114302661777e-03	-1.484464e-01
2.711114302661777e-03	-1.521670e+00
2.719247869463285e-03	-2.327794e+00
2.724283870106885e-03	-2.513405e+00
2.726233675972343e-03	-2.507810e+00
2.728508041447596e-03	-2.445860e+00
2.732194404490705e-03	-2.226498e+00
2.738062399792161e-03	-1.626492e+00
2.746444806672025e-03	-4.888679e-01
2.754498537390114e-03	5.639697e-01
2.764498537390114e-03	1.463406e+00
2.772128334041282e-03	1.762809e+00
2.775422880733806e-03	1.786476e+00
2.777188553272423e-03	1.773211e+00
2.780059332235701e-03	1.712534e+00
2.784684935576759e-03	1.512685e+00
2.791901493212774e-03	9.519784e-01
2.801901493212774e-03	-2.562893e-01
2.811901493212774e-03	-1.619771e+00
2.819804716382884e-03	-2.361838e+00
2.824511345717707e-03	-2.515024e+00
2.826318328022195e-03	-2.506497e+00
2.828645711035685e-03	-2.440253e+00
2.832416398831426e-03	-2.208849e+00
2.838409438475189e-03	-1.583725e+00
2.846685844929714e-03	-4.550193e-01
2.854854869300931e-03	6.050634e-01
2.864854869300931e-03	1.485071e+00
2.872306249312930e-03	1.765687e+00
2.875490713438232e-03	1.786358e+00
2.877298988936208e-03	1.771747e+00
2.880238468110690e-03	1.707220e+00
2.884970786392539e-03	1.496192e+00
2.892333779150168e-03	9.091704e-01
2.902333779150168e-03	-3.160783e-01
2.912333779150168e-03	-1.672185e+00
2.920978309957512e-03	-2.423029e+00
2.924978406614541e-03	-2.516412e+00
2.926491974134603e-03	-2.503556e+00
2.928928036728514e-03	-2.428048e+00
